index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18-OI-6-FG2 1.31265062092962 0.932 0.398 0.516 3.412 -0.398 -0.151 0.398 -0.162 0.424
SL18-OI-6-FG3 1.30899198892603 0.401 0.208 0.892 -7.766 -0.103 -0.324 0.112 0.106 0.172
SL18-JS-6-MG1 1.17978518071839 0.113 0.147 0.886 -13.055 0.345 -0.174 -0.603 0.014 -0.137
SL18-JS-6-MG3 0.967692160658758 0.681 0.27 0.429 -3.622 0.268 -0.044 -0.233 0.526 0.041
SL18-JS-6-MG2 0.88001234535428 0.547 0.244 0.391 -2.567 0.242 0.103 -0.751 -0.332 -0.774
SA18-CB-9-FG1 0.727629457054231 0.652 0.254 0.22 -6.405 0.239 0.535 -0.974 -0.847 -1.229
SL18-OI-6-MG2 0.724888093486201 0.392 0.145 0.434 -14.75 -0.566 -0.357 -0.256 -0.516 -0.718
SL18-CC-12-FG2 0.708142638329625 1.137 0.366 -0.025 71.117 0.133 0.084 -0.27 -0.507 -0.414
SA18-CB-7-MG3 0.668893140875114 0.659 0.262 0.144 37.341 0.088 0.138 -0.372 -0.522 -0.298
SL18-OI-4-FG2 0.637474877933447 0.498 0.213 0.211 70.818 0.002 0.265 -0.987 -0.446 -0.898
SA18-CB-7-MG2 0.635962953908599 0.597 0.262 0.111 74.525 0.053 0.546 -0.325 0.401 0.214
SL18-LD-2-MG2 0.602289882539497 0.138 0.086 0.431 -35.851 -0.276 0.146 -0.593 -0.065 -0.864
SL18-CC-3-FG2 0.554018378197061 0.501 0.213 0.127 24.332 0.388 -0.056 -0.262 -0.409 -0.773
SL18-SF-13-FG2 0.538644059258411 0.891 0.265 0.008 41.543 0.136 0.149 -0.397 -0.227 -0.523
SL18-OI-15-MG2 0.485027751450421 0.594 0.179 0.126 33.968 -0.5 -0.132 0.161 -0.573 0.278
SL18-LD-2-FG2 0.453194461973505 -0.503 -0.067 0.588 -104.082 0.107 -0.12 0.336 0.085 -0.086
SA18-CB-7-FG1 0.425479816939237 0.469 0.153 0.12 12.783 0.283 -0.026 -0.646 0.242 -0.393
SL18-CC-11-FG3 0.409094817496297 0.98 0.302 -0.195 110.017 0.136 -0.105 -0.279 -0.63 -1.015
SL18-OI-18-FG5 0.403640798999708 -0.172 0.007 0.389 -56.227 -0.186 0.241 0.735 0.1 0.376
SL18-OI-11-FG3 0.372013900446327 0.667 0.212 -0.051 12.105 -0.135 0.027 -0.371 0.296 -0.211
